City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
aborlan,20,PH,1551337200,48,9.44,118.55,87.8,9.17
severo-kurilsk,36,RU,1551340685,100,50.68,156.12,27.55,12.21
hilo,90,US,1551340412,82,19.71,-155.08,66.99,12.75
butaritari,92,KI,1551340688,100,3.07,172.79,79.03,11.54
rampur,0,IN,1551340691,73,28.8,79.03,66.7,13.56
vao,88,EE,1551340692,89,59.1,26.19,35.6,10.87
bredasdorp,56,ZA,1551339930,50,-34.53,20.04,75.2,13.87
puerto ayora,56,EC,1551340695,100,-0.74,-90.35,77.9,2.37
kaitangata,0,NZ,1551340696,66,-46.28,169.85,51.49,14.67
east london,0,ZA,1551337200,46,-33.02,27.91,71.6,8.05
gizo,75,IL,1551340567,87,31.8,34.94,52.0,18.34
hay river,75,CA,1551337200,77,60.82,-115.79,-0.41,5.82
gilbues,24,BR,1551340704,95,-9.83,-45.34,68.45,2.71
hobart,75,AU,1551340456,50,-42.88,147.33,75.2,5.82
rantepao,36,ID,1551340708,89,-2.97,119.9,74.66,2.59
ladario,56,PT,1551340498,88,40.7,-7.74,43.0,1.99
rawson,76,AR,1551340712,84,-43.3,-65.11,53.24,9.64
laguna,0,MX,1551340714,68,27.52,-110.01,54.1,3.38
georgetown,80,GY,1551340666,79,6.8,-58.16,76.19,7.74
cidreira,56,BR,1551340717,100,-30.17,-50.22,63.59,1.92
lasa,40,CY,1551340024,50,34.92,32.53,57.2,18.34
atuona,92,PF,1551340120,100,-9.8,-139.03,81.64,9.98
esperance,40,TT,1551340507,88,10.24,-61.45,75.2,5.82
grand gaube,75,MU,1551340441,66,-20.01,57.66,87.8,12.75
te anau,8,NZ,1551340620,83,-45.41,167.72,41.32,2.37
sabla,8,NG,1551340726,19,12.75,4.71,84.25,8.41
adrar,0,DZ,1551337200,55,27.87,-0.29,37.4,5.82
mandalgovi,0,MN,1551340728,57,45.76,106.27,34.34,7.74
ayer keroh,75,MY,1551337200,53,2.26,102.29,95.0,8.05
dabakala,56,CI,1551340731,26,8.36,-4.43,77.9,11.77
tilichiki,36,RU,1551340732,70,60.47,166.1,-6.25,2.71
autazes,80,BR,1551340734,93,-3.58,-59.13,75.11,5.17
yaan,80,NG,1551340735,99,7.38,8.57,73.9,6.51
nanortalik,0,GL,1551340736,91,60.14,-45.24,33.49,20.94
qaanaaq,0,GL,1551340738,93,77.48,-69.36,-16.29,8.86
kruisfontein,0,ZA,1551340739,69,-34.0,24.73,70.07,20.27
tuatapere,76,NZ,1551340205,82,-46.13,167.69,54.0,7.0
kahului,40,US,1551340425,64,20.89,-156.47,69.8,19.46
port blair,24,IN,1551340743,100,11.67,92.75,83.98,5.73
keti bandar,0,PK,1551340744,87,24.14,67.45,74.44,6.29
riviere-au-renard,5,CA,1551337200,65,49.0,-64.4,3.2,13.87
bethel,1,US,1551336960,74,60.79,-161.76,35.6,17.22
shevchenkove,90,UA,1551339000,100,49.7,37.18,32.0,15.66
henties bay,20,NA,1551337330,84,-22.12,14.28,64.99,1.99
choix,0,MX,1551340756,81,26.71,-108.33,54.59,1.7
clyde river,90,CA,1551339660,76,70.47,-68.59,-11.21,29.97
katsuura,75,JP,1551339739,87,33.93,134.5,50.0,6.93
huarmey,20,PE,1551340761,87,-10.07,-78.15,62.29,1.36
bandarbeyla,0,SO,1551340762,100,9.49,50.81,77.45,8.3
vidim,0,CZ,1551340625,57,50.47,14.53,53.01,17.22
palauig,80,PH,1551340766,66,15.44,119.9,82.85,5.39
jamestown,20,AU,1551340768,41,-33.21,138.6,83.39,5.39
vaini,0,IN,1551337200,21,15.34,74.49,84.2,3.36
pangnirtung,0,CA,1551340771,65,66.15,-65.72,-14.89,5.73
coffs harbour,75,AU,1551340403,88,-30.3,153.13,77.0,6.93
chifeng,44,CN,1551340773,35,42.27,118.96,41.05,4.5
thompson,90,CA,1551337200,84,55.74,-97.86,1.4,4.7
vila franca do campo,75,PT,1551340755,100,37.72,-25.43,60.8,12.75
constitucion,20,MX,1551340217,37,23.99,-104.67,61.0,8.99
port hawkesbury,1,CA,1551340560,71,45.62,-61.36,10.0,20.8
saint-philippe,90,CA,1551340776,55,45.36,-73.48,6.8,2.93
longyearbyen,20,NO,1551338400,70,78.22,15.63,-0.41,11.41
cape town,20,ZA,1551340651,64,-33.93,18.42,73.0,9.17
ponta do sol,88,BR,1551340784,98,-20.63,-46.0,64.67,6.62
san patricio,0,PY,1551340786,68,-26.98,-56.83,60.67,4.72
ancud,12,CL,1551337200,81,-41.87,-73.83,48.2,3.36
vrangel,0,RU,1551340790,92,42.73,133.08,35.47,12.33
bahile,20,PH,1551337200,48,10.0,118.79,87.8,9.17
avarua,48,CK,1551339000,83,-21.21,-159.78,78.8,5.82
dunedin,0,NZ,1551340538,57,-45.87,170.5,55.99,8.99
tottori,75,JP,1551337200,87,35.5,134.23,48.2,10.29
quatre cocos,75,MU,1551340740,66,-20.21,57.76,87.8,12.75
cabedelo,20,BR,1551337200,94,-6.97,-34.84,77.0,3.36
new norfolk,75,AU,1551340756,50,-42.78,147.06,75.2,5.82
port elizabeth,90,US,1551340800,100,39.31,-74.98,39.0,4.7
sao gabriel da cachoeira,64,BR,1551340813,93,-0.13,-67.09,72.77,4.38
half moon bay,90,US,1551340816,81,37.46,-122.43,52.0,6.93
bluff,80,AU,1551340820,33,-23.58,149.07,84.07,11.54
chokurdakh,76,RU,1551340821,65,70.62,147.9,-14.53,9.64
port lincoln,92,AU,1551340822,66,-34.72,135.86,76.91,9.75
san quintin,0,PH,1551340824,56,17.54,120.52,79.57,5.73
goderich,0,CA,1551340718,84,43.74,-81.71,7.0,1.99
cairns,40,AU,1551340427,62,-16.92,145.77,84.2,16.11
watertown,1,US,1551340754,70,44.9,-97.12,6.8,8.05
inhambane,40,MZ,1551337200,79,-23.87,35.38,84.2,8.05
beringovskiy,76,RU,1551340830,92,63.05,179.32,23.59,4.38
ambunti,80,PG,1551340832,53,-4.22,142.82,90.14,4.16
lorengau,0,PG,1551340833,97,-2.02,147.27,83.57,5.39
narsaq,68,GL,1551340834,83,60.91,-46.05,30.97,14.56
usinsk,68,RU,1551340836,81,66.0,57.56,5.23,9.64
cayenne,92,GF,1551339000,73,4.94,-52.33,77.0,3.36
dauphin,1,CA,1551337200,85,51.15,-100.04,12.2,19.46
khatanga,24,RU,1551340840,26,71.98,102.47,-18.49,1.7
yarim,0,YE,1551340841,16,14.3,44.38,78.89,5.06
naze,75,NG,1551337200,94,5.43,7.07,78.8,4.16
guerrero negro,0,MX,1551340618,100,27.97,-114.04,52.03,10.87
anjo,75,JP,1551340814,87,34.95,137.08,54.0,16.11
turukhansk,8,RU,1551340850,66,65.8,87.96,-9.54,4.27
mao,20,DO,1551340831,94,19.55,-71.08,72.0,4.7
khandyga,0,RU,1551340853,79,62.65,135.58,-18.85,2.93
saskylakh,44,RU,1551340854,76,71.97,114.09,-18.09,3.49
jacareacanga,88,BR,1551340856,98,-6.22,-57.76,70.97,2.37
sokoto,12,NG,1551340857,21,13.06,5.24,85.1,6.62
tasiilaq,92,GL,1551340859,90,65.61,-37.64,31.82,28.99
isla vista,90,US,1551340820,93,34.41,-119.86,57.2,4.7
codrington,90,AU,1551340702,53,-28.95,153.24,80.6,9.17
morro bay,90,US,1551340619,93,35.37,-120.85,57.2,3.83
sambava,92,MG,1551340866,100,-14.27,50.17,77.95,10.2
burgeo,64,CA,1551340868,100,47.61,-57.61,22.46,34.81
mikhaylovsk,88,RU,1551340870,71,56.44,59.12,21.02,8.86
faanui,12,PF,1551340871,99,-16.48,-151.75,83.62,10.76
norman wells,20,CA,1551337200,60,65.28,-126.83,10.4,5.82
cao bang,100,VN,1551340875,99,22.67,106.25,65.8,3.49
tiksi,8,RU,1551340876,52,71.64,128.87,-10.44,10.65
baoshan,0,CN,1551340837,62,31.41,121.49,55.99,8.95
victoria,75,BN,1551339000,70,5.28,115.24,86.0,4.7
rincon,1,US,1551340870,100,32.3,-81.24,61.0,3.49
pacific grove,90,US,1551340822,100,36.62,-121.92,55.4,4.7
igarka,48,RU,1551340885,64,67.47,86.57,-14.53,12.88
kungurtug,0,RU,1551340887,44,50.6,97.53,26.92,3.6
mar del plata,68,AR,1551340888,91,-46.43,-67.52,52.7,5.73
saldanha,44,PT,1551340890,84,41.42,-6.55,40.91,2.71
moose factory,1,CA,1551337200,76,51.26,-80.61,-5.81,5.82
coihaique,0,CL,1551337200,81,-45.58,-72.07,46.4,5.82
san cristobal,75,EC,1551340813,93,-0.39,-78.55,57.2,2.24
imeni poliny osipenko,0,RU,1551340895,80,52.42,136.49,13.42,4.38
zlynka,90,RU,1551339000,100,52.43,31.74,33.8,11.18
changping,0,CN,1551340895,17,40.22,116.23,59.0,6.71
edendale,8,ZA,1551340794,22,-29.65,30.31,75.0,2.93
antofagasta,20,CL,1551337200,82,-23.65,-70.4,66.2,3.36
nome,92,US,1551340890,98,30.04,-94.42,66.99,3.15
lavrentiya,92,RU,1551340903,96,65.58,-170.99,32.9,27.65
charters towers,92,AU,1551340905,87,-20.07,146.27,71.65,5.95
beloha,0,MG,1551340907,87,-25.17,45.06,87.94,4.72
puerto madryn,56,AR,1551340909,92,-42.77,-65.04,59.23,8.97
bambous virieux,75,MU,1551340740,66,-20.34,57.76,87.8,12.75
sudbury,40,CA,1551340004,77,46.49,-80.99,-0.41,4.7
moussoro,36,TD,1551340913,28,13.64,16.49,81.95,14.67
iwanai,0,JP,1551340914,97,42.97,140.51,35.24,9.64
muriti,8,TZ,1551340915,93,-1.99,32.93,80.24,8.19
pando,40,UY,1551340876,76,-34.72,-55.96,72.0,3.36
vardo,90,US,1551340916,80,39.62,-77.74,37.0,3.36
boa vista,0,BR,1551337200,65,2.82,-60.67,78.8,12.75
hofn,64,IS,1551340922,100,64.25,-15.21,37.04,2.37
yumen,8,CN,1551340923,55,40.29,97.04,38.57,10.98
talnakh,64,RU,1551340925,80,69.49,88.39,-9.13,12.77
alanya,0,TR,1551336600,31,36.55,32.0,50.0,17.22
saint george,0,GR,1551340432,61,39.45,22.34,46.4,8.05
billings,75,US,1551340912,92,45.79,-108.5,12.0,10.29
kulhudhuffushi,24,MV,1551340930,100,6.62,73.07,81.14,7.85
prince rupert,1,CA,1551337200,69,54.32,-130.32,35.6,11.41
ixtapa,5,MX,1551340825,100,20.71,-105.21,70.0,3.36
tomatlan,56,MX,1551340934,89,19.93,-105.25,61.48,1.36
yellowknife,5,CA,1551340397,76,62.45,-114.38,-7.61,11.41
cherskiy,76,RU,1551340937,70,68.75,161.3,-5.98,3.94
pangody,48,RU,1551340938,73,65.85,74.49,-3.37,18.48
provideniya,92,RU,1551340939,94,64.42,-173.23,30.52,18.37
isangel,80,VU,1551340941,99,-19.55,169.27,81.95,19.04
kutum,12,SD,1551340942,24,14.2,24.66,78.49,10.76
nantucket,90,US,1551340752,92,41.28,-70.1,24.01,5.82
tiznit,0,MA,1551340679,61,29.7,-9.73,56.62,3.83
santa rosa,20,AR,1551340948,78,-36.62,-64.29,44.65,5.61
pouembout,0,NC,1551340949,62,-21.12,164.9,75.29,10.31
saint-pierre,0,FR,1551340870,81,48.95,4.24,44.6,16.11
launceston,68,AU,1551340842,53,-41.43,147.14,73.99,10.29
nuuk,48,GL,1551340954,100,64.17,-51.74,16.3,3.83
broome,0,GB,1551340944,93,52.47,1.45,45.0,8.05
